"file","swedish","english","chinese"
"English\Albert_Ghosts.eng.mtf","Hej","Hello","你好"
"English\Albert_Ghosts.eng.mtf","Vem är du?","Who are you?","你是谁？"
"English\Albert_Ghosts.eng.mtf","Var är jag?","Where am I?","我在哪里？"
"English\Albert_Ghosts.eng.mtf","Hallå?!","Hello?!","你好？！"
"English\Albert_Ghosts.eng.mtf","Vem är du sa jag!","Who are you?!","我说你是谁！"
"English\Albert_Ghosts.eng.mtf","Var ÄR jag?!!?!","Where AM I?!!?!","我在哪里？！！？！"
"English\Albert_Ghosts.eng.mtf","Kom","Come","快点"
"English\Albert_Ghosts.eng.mtf","Visst är det vackert?","Isn't it beautiful?","是不是很漂亮？"
"English\Albert_Ghosts.eng.mtf","Vad är det?","What is it?","它是什么？"
"English\Albert_Ghosts.eng.mtf","Vilket?","What?","哪个？"
"English\Albert_Ghosts.eng.mtf","Ja...","Yes...","是的..."
"English\Albert_Ghosts.eng.mtf","Förlåt, vad sa du?","Excuse me, what did you just say?","抱歉，你说什么？"
"English\Albert_Ghosts.eng.mtf","Det är vackert","It is beautiful","它很美"
"English\Albert_Ghosts.eng.mtf","Vad är det vi ser härifrån?","What are we looking at?","从这里我们看到了什么？"
"English\Albert_Ghosts.eng.mtf","Visst är det fantastiskt","Isn't it fantastic","当然，这太棒了"
"English\Albert_Ghosts.eng.mtf","Allting är sammankopplat","Everything is connected","一切都是相连的"
"English\Albert_Ghosts.eng.mtf","Jag önskar att jag kunde ta in allt på samma gång","I wish I could take it all in","我希望我能立刻接受这一切"
"English\Albert_Ghosts.eng.mtf","Men det är för stort","But it's too big","但太大了"
"English\Albert_Ghosts.eng.mtf","Vad gör ni här?","What are you doing here?","你在这里做什么？"
"English\Albert_Ghosts.eng.mtf","Vad är stort?!","What's big?!","什么大了？！"
"English\Albert_Ghosts.eng.mtf","Är det här internet?","Is this the internet?","这是互联网吗？"
"English\Albert_Ghosts.eng.mtf","Jag vet inte jag...","I don't know...","我不知道我..."
"English\Albert_Ghosts.eng.mtf","Zarah lyckades släpa in en soffa åt oss","Zarah managed to lug a sofa in here for us","扎拉设法为我们拖了一张沙发"
"English\Albert_Ghosts.eng.mtf","Det var tur, det finns så dåligt med sittplatser","Which is good, there are so few seats around here","还算幸运，座位很少"
"English\Albert_Ghosts.eng.mtf","Jag önskar att fler ville komma hit","I wish more people would want to come here","我希望更多的人来到这里"
"English\Albert_Ghosts.eng.mtf","Han den nye är mest jobbig","But the new one is really annoying","他新来的最麻烦"
"English\Albert_Ghosts.eng.mtf","Han skriker","He screams","他在大喊大叫"
"English\Albert_Ghosts.eng.mtf","Vem då?","Who?","那么谁呢？"
"English\Albert_Ghosts.eng.mtf","Är det någon som skriker?!","Is someone screaming?!","有人尖叫吗？！"
"English\Albert_Ghosts.eng.mtf","Oj, det låter jobbigt","Oh, that sounds annoying","哦，听起来很难"
"English\Albert_Ghosts.eng.mtf","Oh, ja...","Oh yes...","哦耶..."
"English\Albert_Ghosts.eng.mtf","Vi fick lov att släpa bort honom","We had to drag him away","我们被允许把他拖走"
"English\Albert_Ghosts.eng.mtf","Varken Zarah eller jag kunde ju sova","Neither Zarah nor me could get any sleep","扎拉和我都无法入睡"
"English\Albert_Ghosts.eng.mtf","Fast vi sover i och för sig aldrig här...","Although we never sleep, come to think of it...","虽然我们从来没有真正睡在这里......"
"English\Albert_Ghosts.eng.mtf","Har du en säng med dig?","Did you bring a bed?","你身边有床吗？"
"English\Albert_Ghosts.eng.mtf","Du måste gör något åt hennes dator","You have to do something about her computer","你需要对她的电脑采取一些措施"
"English\Albert_Ghosts.eng.mtf","SNÄLLA, GÖR DET!","PLEASE, DO IT!","请这样做！"
"English\Albert_Ghosts.eng.mtf","Vi klarar det inte","We can't handle it","我们无法处理"
"English\Albert_Ghosts.eng.mtf","Och han skriker så mycket","And he screams an awful lot","他尖叫得很厉害"
"English\Amanda_AfterPyjamas.eng.mtf","Du jag är riktigt stressad just nu, har inte riktigt lust att prata","Look I'm really stressed out right now, don't feel like talking","你我现在压力很大，不想说话"
"English\Amanda_AfterPyjamas.eng.mtf","Sorry, jag orkar inte prata mer","Sorry, don't have the energy to talk","抱歉，我不能再说话了"
"English\Amanda_Arrival.eng.mtf","Tja","Hi there","出色地"
"English\Amanda_Arrival.eng.mtf","Tja","Hi there","出色地"
"English\Amanda_Arrival.eng.mtf","Hejsan","Hello","你好"
"English\Amanda_Arrival.eng.mtf","God kväll","Good evening","晚上好"
"English\Amanda_Arrival.eng.mtf","God dag","Good afternoon","再会"
"English\Amanda_Arrival.eng.mtf","Ny i stan?","New in town?","新进城？"
"English\Amanda_Arrival.eng.mtf","Mm...","Mm...","嗯..."
"English\Amanda_Arrival.eng.mtf","Ja, faktiskt!","Yes, actually!","是的，实际上！"
"English\Amanda_Arrival.eng.mtf","Typ","Kinda","类型"
"English\Amanda_Arrival.eng.mtf","Vilken skitstad det är","What a shitty town this is","这是什么烂城"
"English\Amanda_Arrival.eng.mtf","Va?","Huh?","啊？"
"English\Amanda_Arrival.eng.mtf","Nej, vad är så dåligt med den?","What's so bad about it?","不，这有什么不好的？"
"English\Amanda_Arrival.eng.mtf","Jag gillar den!","I like it!","我喜欢！"
"English\Amanda_Arrival.eng.mtf","Skitväder också","Shitty weather","天气也不好"
"English\Amanda_Arrival.eng.mtf","Regnar ju jämt","Always raining","一直下雨"
"English\Amanda_Arrival.eng.mtf","Yulian säger att det är deras fel","Yulian says it's their fault","尤连说这是他们的错"
"English\Amanda_Arrival.eng.mtf","Eh... ok?","Uh... ok?","呃……好吧？"
"English\Amanda_Arrival.eng.mtf","Vilkas?","Whose fault?","谁的？"
"English\Amanda_Arrival.eng.mtf","Varför kan det inte bara bli som förr?","Why can't things just go back to the way they used to be?","为什么不能像以前一样呢？"
"English\Amanda_Arrival.eng.mtf","Allt är skit","Everything is shit","一切都是垃圾"
"English\Amanda_Arrival.eng.mtf","Sorry, jag orkar inte prata mer","Sorry, I don't feel like talking anymore","抱歉，我不能再说话了"
"English\Amanda_Arrival.eng.mtf","Du jag är riktigt stressad just nu, har inte riktigt lust att prata","Hey, I'm really stressed out right now, not really in the mood to talk","你我现在压力很大，不想说话"
"English\Amanda_CanSellSoda.eng.mtf","Nej tack, jag är inte sugen","No thanks, don't feel like it","不，谢谢，我没心情"
"English\Amanda_CanSellSoda.eng.mtf","Va?","What?","啊？"
"English\Amanda_CanSellSoda.eng.mtf","Du säljer något väl?","You're selling something, right?","你卖东西对吗？"
"English\Amanda_CanSellSoda.eng.mtf","Ehm... ja","Um... yes","嗯...是的"
"English\Amanda_CanSellSoda.eng.mtf","Ja jag kände det på mig","Yeah, I can tell","是的，我自己也感觉到了"
"English\Amanda_CanSellSoda.eng.mtf","Jag vill inte ha","I'm not interested","我不想要"
"English\Amanda_CanSellSoda.eng.mtf","Adjö","Bye","再见"
"English\Amanda_CanSellSoda.eng.mtf","Nej","No","不"
"English\Amanda_CanSellSoda.eng.mtf","Ok, vad vill du då?","What do you want then?","好吧，那你想要什么？"
"English\Amanda_CanSellSoda.eng.mtf","Jag tänkte bara säga hej","Just wanted to say hi","我只是想打个招呼"
"English\Amanda_CanSellSoda.eng.mtf","Hej hej","Hello, hello","你好你好"
"English\Amanda_CanSellSoda.eng.mtf","Jag kommer från Wellspring Soda","I'm from Wellspring Soda","我来自泉泉苏打水"
"English\Amanda_CanSellSoda.eng.mtf","Jag vill INTE ha något sa jag ju precis!","I just told you that I DON'T want anything!","我什么都不想要，我只是说！"
"English\Amanda_CanSellSoda.eng.mtf","Svårt att fatta?","Are you dense?","很难掌握吗？"
"English\Amanda_CanSellSoda.eng.mtf","Adjö","Bye","再见"
"English\Amanda_CanSellSoda.eng.mtf","Hej!","Hello!","你好！"
"English\Amanda_CanSellSoda.eng.mtf","Vad vill du?","What do you want?","你想要什么？"
"English\Amanda_CanSellSoda.eng.mtf","Inte intresserad!","Not interested!","没兴趣！"
"English\Amanda_CanSellSoda.eng.mtf","Nej tack","No thanks","不，谢谢"
"English\Amanda_CanSellSoda.eng.mtf","Hej, fortfarande inte intresserad","Hello, still not interested?","你好，还是不感兴趣"
"English\Amanda_ClubDotGig1.eng.mtf","Har du sett Emma?","Have you seen Emma?","你见过艾玛吗？"
"English\Amanda_ClubDotGig1.eng.mtf","Eh nej","Er, nope","呃，不"
"English\Amanda_ClubDotGig1.eng.mtf","Vem e det?","Who's that?","是谁？"
"English\Amanda_ClubDotGig1.eng.mtf","Strunt samma","Never mind","没关系"
"English\Amanda_ClubDotGig1.eng.mtf","Ursäkta mig","Excuse me","打扰一下"
"English\Amanda_ClubDotGig2.eng.mtf","Du?!","You?!","你？！"
"English\Amanda_ClubDotGig2.eng.mtf","Ja, Sebastian heter jag faktiskt","Yeah, I have a name, it's Sebastian","是的，我的名字实际上是塞巴斯蒂安"
"English\Amanda_ClubDotGig2.eng.mtf","Ah just det","Ah, gotcha","哦，就是这样"
"English\Amanda_ClubDotGig2.eng.mtf","Ja, minns du mig från festen?","Do you remember me from the party?","是的，你还记得聚会上的我吗？"
